DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2023-04-26                01:50:23.397              114.74332635              2753.839833               115.74332635              1682473823.397            65536                     16448                     1.4000543101E+002         4.5636863708E+001         3.4464986911E+001         4.5311637878E+001         4.5004875183E+001         2.0000000000E+000         0.0000000000E+000         3.1826045014E+004         0.0000000000E+000         1.9641107516E+000         1.9832761522E+000         4.1707598395E+002         4.2195169720E+002         7.4575061538E-001         9.4351990378E-001         
2023-04-26                01:50:24.311              114.74333693              2753.840086               115.74333693              1682473824.311            65536                     16448                     1.4000525771E+002         4.5637374751E+001         3.4441988950E+001         4.5311634338E+001         4.5004872823E+001         1.0000000000E+000         0.0000000000E+000         3.1827770675E+004         0.0000000000E+000         1.9641107516E+000         1.9832761522E+000         4.1706620208E+002         4.2195169720E+002         7.4575061538E-001         9.4351990378E-001         
2023-04-26                01:50:24.818              114.74334280              2753.840227               115.74334280              1682473824.818            65536                     16448                     1.4000573730E+002         4.5650077820E+001         3.4437500000E+001         4.5311546326E+001         4.5004814148E+001         3.0000000000E+000         0.0000000000E+000         3.1830072266E+004         0.0000000000E+000         1.9641107516E+000         1.9829061468E+000         4.1706620208E+002         4.2194415866E+002         7.4580006638E-001         9.4358104609E-001         
2023-04-26                01:50:26.236              114.74335922              2753.840621               115.74335922              1682473826.237            65536                     16448                     1.4001499148E+002         4.5650077820E+001         3.4437500000E+001         4.5311546326E+001         4.5004814148E+001         2.0000000000E+000         0.0000000000E+000         3.1833651455E+004         0.0000000000E+000         1.9641548984E+000         1.9829061468E+000         4.1706620208E+002         4.2194415866E+002         7.4580006638E-001         9.4358104609E-001         
2023-04-26                01:50:27.137              114.74336964              2753.840871               115.74336964              1682473827.137            65536                     16448                     1.4000375733E+002         4.5650077820E+001         3.4437500000E+001         4.5311546326E+001         4.5004814148E+001         1.0000000000E+000         0.0000000000E+000         3.1829788822E+004         0.0000000000E+000         1.9641548984E+000         1.9829061468E+000         4.1705609493E+002         4.2194415866E+002         7.4580006638E-001         9.4358104609E-001         
2023-04-26                01:50:27.638              114.74337544              2753.841011               115.74337544              1682473827.638            65536                     16448                     1.4003597318E+002         4.5650077820E+001         3.4437500000E+001         4.5311546326E+001         4.5004814148E+001         3.0000000000E+000         0.0000000000E+000         3.1839958233E+004         0.0000000000E+000         1.9641548984E+000         1.9829581036E+000         4.1705609493E+002         4.2193585098E+002         7.4633175008E-001         9.4423842020E-001         
2023-04-26                01:50:29.061              114.74339191              2753.841406               115.74339191              1682473829.061            65536                     16448                     1.4002255031E+002         4.5650077820E+001         3.4477513228E+001         4.5311546326E+001         4.5004814148E+001         2.0000000000E+000         0.0000000000E+000         3.1838043506E+004         0.0000000000E+000         1.9641755950E+000         1.9829581036E+000         4.1705609493E+002         4.2193585098E+002         7.4633175008E-001         9.4423842020E-001         
2023-04-26                01:50:29.961              114.74340234              2753.841656               115.74340234              1682473829.962            65536                     16448                     1.3999607951E+002         4.5657145282E+001         3.4500000000E+001         4.5311362538E+001         4.5004830856E+001         1.0000000000E+000         0.0000000000E+000         3.1832135475E+004         0.0000000000E+000         1.9641755950E+000         1.9829581036E+000         4.1705396423E+002         4.2193585098E+002         7.4633175008E-001         9.4423842020E-001         
2023-04-26                01:50:30.463              114.74340815              2753.841796               115.74340815              1682473830.464            65536                     16448                     1.3999838022E+002         4.5662986755E+001         3.4500000000E+001         4.5311210632E+001         4.5004844666E+001         3.0000000000E+000         0.0000000000E+000         3.1832029297E+004         0.0000000000E+000         1.9641755950E+000         1.9829842947E+000         4.1705396423E+002         4.2193507016E+002         7.4621668537E-001         9.4409615588E-001         
2023-04-26                01:50:31.892              114.74342469              2753.842192               115.74342469              1682473831.893            65536                     16448                     1.4000274986E+002         4.5662986755E+001         3.4483311518E+001         4.5311210632E+001         4.5004844666E+001         2.0000000000E+000         0.0000000000E+000         3.1836420321E+004         0.0000000000E+000         1.9643235764E+000         1.9829842947E+000         4.1705396423E+002         4.2193507016E+002         7.4621668537E-001         9.4409615588E-001         
2023-04-26                01:50:32.802              114.74343522              2753.842445               115.74343522              1682473832.803            65536                     16448                     1.3997765641E+002         4.5662986755E+001         3.4479281768E+001         4.5311210632E+001         4.5004844666E+001         1.0000000000E+000         0.0000000000E+000         3.1830342164E+004         0.0000000000E+000         1.9643235764E+000         1.9829842947E+000         4.1702611463E+002         4.2193507016E+002         7.4621668537E-001         9.4409615588E-001         
2023-04-26                01:50:33.313              114.74344113              2753.842587               115.74344113              1682473833.314            65536                     16448                     1.3999624634E+002         4.5662986755E+001         3.4437500000E+001         4.5311210632E+001         4.5004844666E+001         3.0000000000E+000         0.0000000000E+000         3.1836810547E+004         0.0000000000E+000         1.9643235764E+000         1.9831318488E+000         4.1702611463E+002         4.2190641596E+002         7.4618668674E-001         9.4405906585E-001         
2023-04-26                01:50:34.743              114.74345767              2753.842984               115.74345767              1682473834.743            65536                     16448                     1.4001422614E+002         4.5670333343E+001         3.4499672775E+001         4.5311210632E+001         4.5004774363E+001         2.0000000000E+000         0.0000000000E+000         3.1841818513E+004         0.0000000000E+000         1.9641889739E+000         1.9831318488E+000         4.1702611463E+002         4.2190641596E+002         7.4618668674E-001         9.4405906585E-001         
2023-04-26                01:50:35.655              114.74346824              2753.843238               115.74346824              1682473835.656            65536                     16448                     1.4001046896E+002         4.5675743103E+001         3.4437500000E+001         4.5311210632E+001         4.5004722595E+001         1.0000000000E+000         0.0000000000E+000         3.1839809543E+004         0.0000000000E+000         1.9641889739E+000         1.9831318488E+000         4.1702996097E+002         4.2190641596E+002         7.4618668674E-001         9.4405906585E-001         
2023-04-26                01:50:36.163              114.74347411              2753.843379               115.74347411              1682473836.163            65536                     16448                     1.4000498376E+002         4.5675743103E+001         3.4449519231E+001         4.5311210632E+001         4.5004722595E+001         3.0000000000E+000         0.0000000000E+000         3.1839956130E+004         0.0000000000E+000         1.9641889739E+000         1.9829848379E+000         4.1702996097E+002         4.2190742107E+002         7.4534200246E-001         9.4301467882E-001         
