DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2023-04-27                22:54:28.405              116.62116211              2798.907891               117.62116211              1682636068.406            65536                     16448                     1.3999397472E+002         4.4795890808E+001         3.3810773481E+001         4.5311668396E+001         4.5006340027E+001         1.0000000000E+000         0.0000000000E+000         3.1171118946E+004         0.0000000000E+000         1.9645345976E+000         1.9792110369E+000         4.1734132275E+002         4.2115872010E+002         5.8769380514E-001         7.4716543683E-001         
2023-04-27                22:54:28.913              116.62116797              2798.908031               117.62116797              1682636068.913            65536                     16448                     1.3996289063E+002         4.4795890808E+001         3.3812500000E+001         4.5311668396E+001         4.5006340027E+001         3.0000000000E+000         0.0000000000E+000         3.1160865234E+004         0.0000000000E+000         1.9645345976E+000         1.9793135860E+000         4.1734132275E+002         4.2117840614E+002         5.8705918117E-001         7.4637325952E-001         
2023-04-27                22:54:30.345              116.62118456              2798.908429               117.62118456              1682636070.346            65536                     16448                     1.4002464231E+002         4.4804763754E+001         3.3812500000E+001         4.5311576843E+001         4.5006201819E+001         2.0000000000E+000         0.0000000000E+000         3.1184670055E+004         0.0000000000E+000         1.9643906417E+000         1.9793135860E+000         4.1734132275E+002         4.2117840614E+002         5.8705918117E-001         7.4637325952E-001         
2023-04-27                22:54:31.260              116.62119515              2798.908684               117.62119515              1682636071.261            65536                     16448                     1.3999637372E+002         4.4805686951E+001         3.3812500000E+001         4.5311576843E+001         4.5006187439E+001         1.0000000000E+000         0.0000000000E+000         3.1178463722E+004         0.0000000000E+000         1.9643906417E+000         1.9793135860E+000         4.1732415033E+002         4.2117840614E+002         5.8705918117E-001         7.4637325952E-001         
2023-04-27                22:54:31.766              116.62120101              2798.908824               117.62120101              1682636071.767            65536                     16448                     1.4001500643E+002         4.4805686951E+001         3.3812500000E+001         4.5311576843E+001         4.5006187439E+001         3.0000000000E+000         0.0000000000E+000         3.1184445162E+004         0.0000000000E+000         1.9643906417E+000         1.9791629893E+000         4.1732415033E+002         4.2115963252E+002         5.8725500299E-001         7.4661769982E-001         
2023-04-27                22:54:33.194              116.62121753              2798.909221               117.62121753              1682636073.195            65536                     16448                     1.4001224635E+002         4.4805686951E+001         3.3812500000E+001         4.5311576843E+001         4.5006187439E+001         2.0000000000E+000         0.0000000000E+000         3.1184019717E+004         0.0000000000E+000         1.9646121338E+000         1.9791629893E+000         4.1732415033E+002         4.2115963252E+002         5.8725500299E-001         7.4661769982E-001         
2023-04-27                22:54:34.095              116.62122796              2798.909471               117.62122796              1682636074.096            65536                     16448                     1.3999265072E+002         4.4805686951E+001         3.3812500000E+001         4.5311576843E+001         4.5006187439E+001         1.0000000000E+000         0.0000000000E+000         3.1179914815E+004         0.0000000000E+000         1.9646121338E+000         1.9791629893E+000         4.1728918193E+002         4.2115963252E+002         5.8725500299E-001         7.4661769982E-001         
2023-04-27                22:54:34.599              116.62123380              2798.909611               117.62123380              1682636074.600            65536                     16448                     1.4001205444E+002         4.4805686951E+001         3.3812500000E+001         4.5311576843E+001         4.5006187439E+001         3.0000000000E+000         0.0000000000E+000         3.1184689453E+004         0.0000000000E+000         1.9646121338E+000         1.9794049356E+000         4.1728918193E+002         4.2112922092E+002         5.8854238684E-001         7.4822464182E-001         
2023-04-27                22:54:36.022              116.62125025              2798.910006               117.62125025              1682636076.022            65536                     16448                     1.4001894803E+002         4.4815849304E+001         3.3812500000E+001         4.5311729431E+001         4.5006187439E+001         2.0000000000E+000         0.0000000000E+000         3.1190186942E+004         0.0000000000E+000         1.9644425557E+000         1.9794049356E+000         4.1728918193E+002         4.2112922092E+002         5.8854238684E-001         7.4822464182E-001         
2023-04-27                22:54:36.921              116.62126067              2798.910256               117.62126067              1682636076.922            65536                     16448                     1.3999915412E+002         4.4815849304E+001         3.3812500000E+001         4.5311729431E+001         4.5006187439E+001         1.0000000000E+000         0.0000000000E+000         3.1186995734E+004         0.0000000000E+000         1.9644425557E+000         1.9794049356E+000         4.1730681164E+002         4.2112922092E+002         5.8854238684E-001         7.4822464182E-001         
2023-04-27                22:54:37.423              116.62126647              2798.910395               117.62126647              1682636077.423            65536                     16448                     1.4004733276E+002         4.4815849304E+001         3.3812500000E+001         4.5311729431E+001         4.5006187439E+001         3.0000000000E+000         0.0000000000E+000         3.1200632813E+004         0.0000000000E+000         1.9644425557E+000         1.9792484162E+000         4.1730681164E+002         4.2115073533E+002         5.8838670708E-001         7.4803032546E-001         
2023-04-27                22:54:38.852              116.62128302              2798.910792               117.62128302              1682636078.853            65536                     16448                     1.4000064974E+002         4.4815849304E+001         3.3812500000E+001         4.5311729431E+001         4.5006187439E+001         2.0000000000E+000         0.0000000000E+000         3.1188450477E+004         0.0000000000E+000         1.9647927349E+000         1.9792484162E+000         4.1730681164E+002         4.2115073533E+002         5.8838670708E-001         7.4803032546E-001         
2023-04-27                22:54:39.762              116.62129354              2798.911045               117.62129354              1682636079.762            65536                     16448                     1.3999762418E+002         4.4818980475E+001         3.3812500000E+001         4.5311763152E+001         4.5006253532E+001         1.0000000000E+000         0.0000000000E+000         3.1189074909E+004         0.0000000000E+000         1.9647927349E+000         1.9792484162E+000         4.1730925756E+002         4.2115073533E+002         5.8838670708E-001         7.4803032546E-001         
2023-04-27                22:54:40.267              116.62129940              2798.911186               117.62129940              1682636080.268            65536                     16448                     1.4001776123E+002         4.4827415466E+001         3.3812500000E+001         4.5311790466E+001         4.5006431580E+001         3.0000000000E+000         0.0000000000E+000         3.1196207031E+004         0.0000000000E+000         1.9647927349E+000         1.9795852496E+000         4.1730925756E+002         4.2114905369E+002         5.8728067492E-001         7.4664974534E-001         
2023-04-27                22:54:41.703              116.62131601              2798.911584               117.62131601              1682636081.703            65536                     16448                     1.3999642992E+002         4.4827415466E+001         3.3812500000E+001         4.5311790466E+001         4.5006431580E+001         2.0000000000E+000         0.0000000000E+000         3.1193732667E+004         0.0000000000E+000         1.9644681561E+000         1.9795852496E+000         4.1730925756E+002         4.2114905369E+002         5.8728067492E-001         7.4664974534E-001         
2023-04-27                22:54:42.615              116.62132657              2798.911838               117.62132657              1682636082.616            65536                     16448                     1.4001363124E+002         4.4827415466E+001         3.3812500000E+001         4.5311790466E+001         4.5006431580E+001         1.0000000000E+000         0.0000000000E+000         3.1199149430E+004         0.0000000000E+000         1.9644681561E+000         1.9795852496E+000         4.1726416351E+002         4.2114905369E+002         5.8728067492E-001         7.4664974534E-001         
2023-04-27                22:54:43.127              116.62133249              2798.911980               117.62133249              1682636083.127            65536                     16448                     1.4003350830E+002         4.4827415466E+001         3.3812500000E+001         4.5311790466E+001         4.5006431580E+001         3.0000000000E+000         0.0000000000E+000         3.1203490234E+004         0.0000000000E+000         1.9644681561E+000         1.9792355760E+000         4.1726416351E+002         4.2109766362E+002         5.8659847014E-001         7.4579815209E-001         
2023-04-27                22:54:44.546              116.62134892              2798.912374               117.62134892              1682636084.547            65536                     16448                     1.4000878123E+002         4.4830815996E+001         3.3812500000E+001         4.5311790466E+001         4.5006392827E+001         2.0000000000E+000         0.0000000000E+000         3.1202541005E+004         0.0000000000E+000         1.9642500231E+000         1.9792355760E+000         4.1726416351E+002         4.2109766362E+002         5.8659847014E-001         7.4579815209E-001         
2023-04-27                22:54:45.447              116.62135934              2798.912624               117.62135934              1682636085.447            65536                     16448                     1.4000536530E+002         4.4838127136E+001         3.3812500000E+001         4.5311790466E+001         4.5006309509E+001         1.0000000000E+000         0.0000000000E+000         3.1203438100E+004         0.0000000000E+000         1.9642500231E+000         1.9792355760E+000         4.1727521225E+002         4.2109766362E+002         5.8659847014E-001         7.4579815209E-001         
2023-04-27                22:54:45.947              116.62136514              2798.912763               117.62136514              1682636085.948            65536                     16448                     1.3998697017E+002         4.4838127136E+001         3.3812500000E+001         4.5311790466E+001         4.5006309509E+001         3.0000000000E+000         0.0000000000E+000         3.1198514573E+004         0.0000000000E+000         1.9642500231E+000         1.9790224265E+000         4.1727521225E+002         4.2111053377E+002         5.8780363971E-001         7.4730253610E-001         
