DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2023-04-27                11:53:18.944              116.16202483              2787.888596               117.16202483              1682596398.945            65536                     16448                     1.4000426791E+002         4.6578788757E+001         3.4687500000E+001         4.5305564880E+001         4.5000205994E+001         1.0000000000E+000         0.0000000000E+000         3.1638930853E+004         0.0000000000E+000         1.9439576734E+000         1.9686497617E+000         4.2110101651E+002         4.2755962837E+002         9.8065017098E-001         1.2319502795E+000         
2023-04-27                11:53:19.450              116.16203068              2787.888736               117.16203068              1682596399.451            65536                     16448                     1.4000001409E+002         4.6578788757E+001         3.4687500000E+001         4.5305564880E+001         4.5000205994E+001         3.0000000000E+000         0.0000000000E+000         3.1639009014E+004         0.0000000000E+000         1.9439576734E+000         1.9684897675E+000         4.2110101651E+002         4.2759664009E+002         9.8087953054E-001         1.2322299746E+000         
2023-04-27                11:53:20.865              116.16204706              2787.889129               117.16204706              1682596400.866            65536                     16448                     1.4000298443E+002         4.6575492859E+001         3.4687500000E+001         4.5305503845E+001         4.5000450134E+001         2.0000000000E+000         0.0000000000E+000         3.1641363426E+004         0.0000000000E+000         1.9440959702E+000         1.9684897675E+000         4.2110101651E+002         4.2759664009E+002         9.8087953054E-001         1.2322299746E+000         
2023-04-27                11:53:21.767              116.16205750              2787.889380               117.16205750              1682596401.768            65536                     16448                     1.3998844160E+002         4.6575492859E+001         3.4687500000E+001         4.5305503845E+001         4.5000450134E+001         1.0000000000E+000         0.0000000000E+000         3.1635355109E+004         0.0000000000E+000         1.9440959702E+000         1.9684897675E+000         4.2108408010E+002         4.2759664009E+002         9.8087953054E-001         1.2322299746E+000         
2023-04-27                11:53:22.270              116.16206332              2787.889520               117.16206332              1682596402.271            65536                     16448                     1.4002388000E+002         4.6575492859E+001         3.4687500000E+001         4.5305503845E+001         4.5000450134E+001         3.0000000000E+000         0.0000000000E+000         3.1646511719E+004         0.0000000000E+000         1.9440959702E+000         1.9686200068E+000         4.2108408010E+002         4.2757684611E+002         9.7987543792E-001         1.2310054951E+000         
2023-04-27                11:53:23.690              116.16207976              2787.889914               117.16207976              1682596403.691            65536                     16448                     1.4000906421E+002         4.6575492859E+001         3.4687500000E+001         4.5305503845E+001         4.5000450134E+001         2.0000000000E+000         0.0000000000E+000         3.1641209573E+004         0.0000000000E+000         1.9441151710E+000         1.9686200068E+000         4.2108408010E+002         4.2757684611E+002         9.7987543792E-001         1.2310054951E+000         
2023-04-27                11:53:24.591              116.16209017              2787.890164               117.16209017              1682596404.591            65536                     16448                     1.3998310622E+002         4.6575492859E+001         3.4687500000E+001         4.5305578520E+001         4.5000387906E+001         1.0000000000E+000         0.0000000000E+000         3.1632954063E+004         0.0000000000E+000         1.9441151710E+000         1.9686200068E+000         4.2108155596E+002         4.2757684611E+002         9.7987543792E-001         1.2310054951E+000         
2023-04-27                11:53:25.092              116.16209597              2787.890303               117.16209597              1682596405.092            65536                     16448                     1.3998385620E+002         4.6575492859E+001         3.4687500000E+001         4.5305686951E+001         4.5000297546E+001         3.0000000000E+000         0.0000000000E+000         3.1632433594E+004         0.0000000000E+000         1.9441151710E+000         1.9686077339E+000         4.2108155596E+002         4.2756588296E+002         9.7837287419E-001         1.2291730026E+000         
2023-04-27                11:53:26.516              116.16211247              2787.890699               117.16211247              1682596406.517            65536                     16448                     1.4000308675E+002         4.6572227478E+001         3.4687500000E+001         4.5305686951E+001         4.5000297546E+001         2.0000000000E+000         0.0000000000E+000         3.1636154992E+004         0.0000000000E+000         1.9442029765E+000         1.9686077339E+000         4.2108155596E+002         4.2756588296E+002         9.7837287419E-001         1.2291730026E+000         
2023-04-27                11:53:27.427              116.16212300              2787.890952               117.16212300              1682596407.427            65536                     16448                     1.3999779987E+002         4.6572227478E+001         3.4687500000E+001         4.5305686951E+001         4.5000297546E+001         1.0000000000E+000         0.0000000000E+000         3.1633696241E+004         0.0000000000E+000         1.9442029765E+000         1.9686077339E+000         4.2111708201E+002         4.2756588296E+002         9.7837287419E-001         1.2291730026E+000         
