DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       
2023-06-22                15:54:12.394              172.32931012              4135.903443               173.32931012              1687449252.394            0                         963                       1.4000191983E+002         4.4999870300E+001         3.3437500000E+001         4.5306602478E+001         4.5000205994E+001         1.0000000000E+000         0.0000000000E+000         3.0929238130E+004         0.0000000000E+000         4.1037645989E+002         4.1695679081E+002         1.9788122909E+000         2.0046476254E+000         1.0198551285E+000         
2023-06-22                15:54:12.901              172.32931600              4135.903584               173.32931600              1687449252.902            0                         963                       1.4001306504E+002         4.4999870300E+001         3.3437500000E+001         4.5306602478E+001         4.5000205994E+001         3.0000000000E+000         0.0000000000E+000         3.0932219877E+004         0.0000000000E+000         4.1037645989E+002         4.1696510284E+002         1.9788122909E+000         2.0048033584E+000         1.0207694250E+000         
2023-06-22                15:54:14.463              172.32933407              4135.904018               173.32933407              1687449254.464            0                         963                       1.4001089581E+002         4.4999876691E+001         3.3437500000E+001         4.5306596087E+001         4.5000202798E+001         2.0000000000E+000         0.0000000000E+000         3.0932360387E+004         0.0000000000E+000         4.1037645989E+002         4.1696510284E+002         1.9786607683E+000         2.0048033584E+000         1.0207694250E+000         
2023-06-22                15:54:15.384              172.32934473              4135.904274               173.32934473              1687449255.385            0                         963                       1.3998929954E+002         4.4999992371E+001         3.3437500000E+001         4.5306480408E+001         4.5000144958E+001         1.0000000000E+000         0.0000000000E+000         3.0925602728E+004         0.0000000000E+000         4.1035831799E+002         4.1696510284E+002         1.9786607683E+000         2.0048033584E+000         1.0207694250E+000         
2023-06-22                15:54:15.898              172.32935067              4135.904416               173.32935067              1687449255.898            0                         963                       1.4000209163E+002         4.4999992371E+001         3.3437500000E+001         4.5306480408E+001         4.5000144958E+001         3.0000000000E+000         0.0000000000E+000         3.0930248723E+004         0.0000000000E+000         4.1035831799E+002         4.1694876007E+002         1.9786607683E+000         2.0046580879E+000         1.0204945659E+000         
2023-06-22                15:54:17.441              172.32936854              4135.904845               173.32936854              1687449257.442            0                         963                       1.4000928041E+002         4.4999992371E+001         3.3437500000E+001         4.5306480408E+001         4.5000144958E+001         2.0000000000E+000         0.0000000000E+000         3.0930275411E+004         0.0000000000E+000         4.1035831799E+002         4.1694876007E+002         1.9790588547E+000         2.0046580879E+000         1.0204945659E+000         
2023-06-22                15:54:18.342              172.32937896              4135.905095               173.32937896              1687449258.342            0                         963                       1.4000675632E+002         4.4999992371E+001         3.3437500000E+001         4.5306480408E+001         4.5000144958E+001         1.0000000000E+000         0.0000000000E+000         3.0929033792E+004         0.0000000000E+000         4.1038378081E+002         4.1694876007E+002         1.9790588547E+000         2.0046580879E+000         1.0204945659E+000         
2023-06-22                15:54:18.845              172.32938479              4135.905235               173.32938479              1687449258.846            0                         963                       1.4000450369E+002         4.4999992371E+001         3.3437500000E+001         4.5306480408E+001         4.5000144958E+001         3.0000000000E+000         0.0000000000E+000         3.0929169922E+004         0.0000000000E+000         4.1038378081E+002         4.1697406991E+002         1.9790588547E+000         2.0050591888E+000         1.0205975442E+000         
2023-06-22                15:54:20.411              172.32940292              4135.905670               173.32940292              1687449260.412            0                         963                       1.3999461550E+002         4.4999900818E+001         3.3437500000E+001         4.5306541443E+001         4.5000144958E+001         2.0000000000E+000         0.0000000000E+000         3.0928164858E+004         0.0000000000E+000         4.1038378081E+002         4.1697406991E+002         1.9788548191E+000         2.0050591888E+000         1.0205975442E+000         
2023-06-22                15:54:21.322              172.32941345              4135.905923               173.32941345              1687449261.322            0                         963                       1.3999336481E+002         4.4999900818E+001         3.3437500000E+001         4.5306541443E+001         4.5000144958E+001         1.0000000000E+000         0.0000000000E+000         3.0926600079E+004         0.0000000000E+000         4.1037536938E+002         4.1697406991E+002         1.9788548191E+000         2.0050591888E+000         1.0205975442E+000         
